No.,Time,Source,Destination,Protocol,Length,Info,Class
195,9.486014,Google,Local,TCP,60,FIN ACK,browsing
196,9.486059,Local,Google,TCP,54,ACK,browsing
199,9.919841,Local,Google,TCP,54,ACK,browsing
202,9.919926,Local,Google,TCP,54,ACK,browsing
205,9.920639,Local,Google,TCP,54,ACK,browsing
207,9.920875,Local,Google,TCP,54,ACK,browsing
210,9.921764,Local,Google,TCP,54,ACK,browsing
212,9.968712,Local,Google,TCP,54,ACK,browsing
214,10.010868,Google,Local,TCP,60,ACK,browsing
216,10.01117,Google,Local,TCP,60,ACK,browsing
218,10.011507,Google,Local,TCP,60,ACK,browsing
220,10.011759,Google,Local,TCP,60,ACK,browsing
222,10.015641,Google,Local,TCP,60,ACK,browsing
224,10.016798,Local,Google,TCP,54,ACK,browsing
226,10.016862,Local,Google,TCP,54,ACK,browsing
228,10.016984,Local,Google,TCP,54,ACK,browsing
230,10.016997,Local,Google,TCP,54,ACK,browsing
234,10.018493,Google,Local,TCP,60,ACK,browsing
236,10.018678,Google,Local,TCP,60,ACK,browsing
239,10.018905,Google,Local,TCP,60,ACK,browsing
241,10.019012,Local,Google,TCP,54,ACK,browsing
245,10.019424,Google,Local,TCP,60,ACK,browsing
247,10.019517,Local,Google,TCP,54,ACK,browsing
249,10.019728,Local,Google,TCP,54,ACK,browsing
252,10.020102,Local,Google,TCP,54,ACK,browsing
255,10.020453,Google,Local,TCP,60,ACK,browsing
257,10.020511,Local,Google,TCP,54,ACK,browsing
261,10.021807,Google,Local,TCP,60,ACK,browsing
262,10.021813,Local,Google,TCP,54,ACK,browsing
264,10.022034,Local,Google,TCP,54,ACK,browsing
266,10.022305,Local,Google,TCP,54,ACK,browsing
271,10.024413,Local,Google,TCP,54,ACK,browsing
273,10.024524,Local,Google,TCP,74,ACK,browsing
275,10.024605,Local,Google,TCP,54,ACK,browsing
279,10.025262,Local,Google,TCP,54,ACK,browsing
282,10.025887,Local,Google,TCP,54,ACK,browsing
284,10.026088,Local,Google,TCP,54,ACK,browsing
287,10.026305,Local,Google,TCP,54,ACK,browsing
289,10.02635,Local,Google,TCP,54,ACK,browsing
292,10.026987,Local,Google,TCP,54,ACK,browsing
294,10.02717,Local,Google,TCP,54,ACK,browsing
296,10.027859,Local,Google,TCP,54,ACK,browsing
298,10.028124,Local,Google,TCP,54,ACK,browsing
300,10.029043,Google,Local,TCP,60,ACK,browsing
302,10.029167,Google,Local,TCP,60,ACK,browsing
303,10.029648,Google,Local,TCP,60,ACK,browsing
304,10.02969,Local,Google,TCP,54,ACK,browsing
306,10.030291,Google,Local,TCP,60,ACK,browsing
313,10.036076,Local,Google,TCP,54,ACK,browsing
315,10.03615,Local,Google,TCP,54,ACK,browsing
318,10.03642,Local,Google,TCP,54,ACK,browsing
319,10.036457,Google,Local,TCP,60,ACK,browsing
321,10.036572,Local,Google,TCP,54,ACK,browsing
323,10.036779,Local,Google,TCP,54,ACK,browsing
325,10.037181,Local,Google,TCP,54,ACK,browsing
327,10.037338,Local,Google,TCP,54,ACK,browsing
329,10.03736,Local,Google,TCP,54,ACK,browsing
332,10.038155,Local,Google,TCP,54,ACK,browsing
334,10.038231,Local,Google,TCP,54,ACK,browsing
337,10.038902,Local,Google,TCP,54,ACK,browsing
339,10.039096,Local,Google,TCP,54,ACK,browsing
341,10.039151,Local,Google,TCP,54,ACK,browsing
344,10.040092,Local,Google,TCP,54,ACK,browsing
346,10.040264,Local,Google,TCP,54,ACK,browsing
349,10.041517,Local,Google,TCP,54,ACK,browsing
351,10.041688,Local,Google,TCP,54,ACK,browsing
353,10.041775,Local,Google,TCP,54,ACK,browsing
355,10.041838,Local,Google,TCP,54,ACK,browsing
358,10.042305,Local,Google,TCP,54,ACK,browsing
360,10.042323,Local,Google,TCP,54,ACK,browsing
362,10.042424,Local,Google,TCP,54,ACK,browsing
364,10.043049,Local,Google,TCP,54,ACK,browsing
366,10.043174,Local,Google,TCP,54,ACK,browsing
369,10.043259,Local,Google,TCP,54,ACK,browsing
371,10.043337,Local,Google,TCP,54,ACK,browsing
373,10.043431,Local,Google,TCP,54,ACK,browsing
375,10.043445,Local,Google,TCP,54,ACK,browsing
378,10.04408,Local,Google,TCP,54,ACK,browsing
380,10.044157,Local,Google,TCP,54,ACK,browsing
382,10.044266,Local,Google,TCP,54,ACK,browsing
384,10.044276,Local,Google,TCP,54,ACK,browsing
387,10.045119,Local,Google,TCP,54,ACK,browsing
389,10.045213,Local,Google,TCP,54,ACK,browsing
391,10.045306,Local,Google,TCP,54,ACK,browsing
392,10.045469,Local,Static,TCP,74,ACK,browsing
395,10.046028,Local,Google,TCP,54,ACK,browsing
397,10.046092,Local,Google,TCP,54,ACK,browsing
399,10.046141,Local,Google,TCP,54,ACK,browsing
402,10.046676,Local,Google,TCP,54,ACK,browsing
404,10.046735,Local,Google,TCP,54,ACK,browsing
406,10.046836,Local,Google,TCP,54,ACK,browsing
418,10.050528,Static,Local,TCP,60,ACK,browsing
419,10.050557,Local,Static,TCP,54,ACK,browsing
420,10.051866,Local,Google,TCP,54,ACK,browsing
425,10.052436,Local,Google,TCP,54,ACK,browsing
427,10.052603,Local,Google,TCP,54,ACK,browsing
432,10.053591,Local,Google,TCP,54,ACK,browsing
439,10.05429,Local,Google,TCP,54,ACK,browsing
446,10.055024,Local,Google,TCP,54,ACK,browsing
455,10.055443,Local,Google,TCP,54,ACK,browsing
457,10.055535,Local,Google,TCP,54,ACK,browsing
461,10.055756,Local,Google,TCP,54,ACK,browsing
466,10.056897,Local,Google,TCP,54,ACK,browsing
468,10.057175,Local,Google,TCP,54,ACK,browsing
473,10.057375,Local,Google,TCP,54,ACK,browsing
475,10.057457,Local,Google,TCP,54,ACK,browsing
481,10.058492,Local,Google,TCP,54,ACK,browsing
487,10.058994,Local,Google,TCP,54,ACK,browsing
494,10.059575,Local,Google,TCP,54,ACK,browsing
496,10.059745,Local,Google,TCP,54,ACK,browsing
500,10.060419,Local,Google,TCP,54,ACK,browsing
507,10.06088,Local,Google,TCP,54,ACK,browsing
508,10.061024,Google,Local,TCP,5734,ACK,browsing
509,10.061043,Local,Google,TCP,54,ACK,browsing
512,10.061233,Google,Local,TCP,11414,ACK,browsing
515,10.061328,Local,Google,TCP,54,ACK,browsing
516,10.06139,Local,Google,TCP,54,ACK,browsing
517,10.061489,Google,Local,TCP,5734,ACK,browsing
519,10.061605,Google,Local,TCP,14254,ACK,browsing
521,10.061678,Local,Google,TCP,54,ACK,browsing
522,10.062703,Local,Google,TCP,54,ACK,browsing
523,10.064366,Local,Google,TCP,54,TCP Dup ACK,browsing
525,10.075109,Google,Local,TCP,60,ACK,browsing
527,10.078543,Static,Local,TCP,60,ACK,browsing
529,10.088742,Local,Static,TCP,54,ACK,browsing
531,10.088848,Local,Static,TCP,54,ACK,browsing
535,10.101555,Static,Local,TCP,60,ACK,browsing
536,10.101651,Local,Static,TCP,74,ACK,browsing
539,10.106101,Local,Static,TCP,74,ACK,browsing
540,10.10635,Local,Static,TCP,74,ACK,browsing
541,10.10642,Static,Local,TCP,60,ACK,browsing
542,10.106449,Local,Static,TCP,54,ACK,browsing
544,10.106857,Static,Local,TCP,60,ACK,browsing
546,10.107819,Local,Static,TCP,54,ACK,browsing
548,10.10975,Google,Local,TCP,60,ACK,browsing
551,10.11023,Google,Local,TCP,60,ACK,browsing
552,10.11023,Google,Local,TCP,60,ACK,browsing
553,10.111027,Static,Local,TCP,60,ACK,browsing
554,10.111073,Local,Static,TCP,54,ACK,browsing
555,10.111499,Static,Local,TCP,60,ACK,browsing
556,10.111525,Local,Static,TCP,54,ACK,browsing
558,10.112329,Local,Static,TCP,54,ACK,browsing
560,10.114793,Static,Local,TCP,60,ACK,browsing
562,10.115041,Local,Google,TCP,54,ACK,browsing
564,10.115526,Google,Local,TCP,60,ACK,browsing
566,10.117624,Local,Google,TCP,54,ACK,browsing
568,10.117641,Local,Google,TCP,54,ACK,browsing
570,10.11903,Static,Local,TCP,60,ACK,browsing
573,10.12004,Local,Static,TCP,54,ACK,browsing
574,10.120024,Static,Local,TCP,60,ACK,browsing
576,10.120643,Google,Local,TCP,60,ACK,browsing
578,10.120808,Static,Local,TCP,60,ACK,browsing
581,10.124811,Local,Static,TCP,54,ACK,browsing
