No.,Time,Source,Destination,Protocol,Length,Info,Class
2216,18.885904,Google,Local,TCP,60,ACK,browsing
2217,18.885979,Local,Google,TCP,8814,ACK,browsing
2218,18.885904,Google,Local,TCP,60,ACK,browsing
2219,18.886094,Google,Local,TCP,60,ACK,browsing
2220,18.886094,Google,Local,TCP,60,ACK,browsing
2222,18.886094,Google,Local,TCP,60,ACK,browsing
2223,18.886094,Google,Local,TCP,60,ACK,browsing
2224,18.886094,Google,Local,TCP,60,ACK,browsing
2225,18.886094,Google,Local,TCP,60,ACK,browsing
2226,18.886094,Google,Local,TCP,60,ACK,browsing
2227,18.886094,Google,Local,TCP,60,ACK,browsing
2228,18.886146,Google,Local,TCP,60,ACK,browsing
2229,18.886146,Google,Local,TCP,60,ACK,browsing
2230,18.886147,Google,Local,TCP,60,ACK,browsing
2231,18.886147,Google,Local,TCP,60,ACK,browsing
2232,18.886147,Google,Local,TCP,60,ACK,browsing
2233,18.886147,Google,Local,TCP,60,ACK,browsing
2234,18.886337,Google,Local,TCP,60,ACK,browsing
2235,18.886337,Google,Local,TCP,60,ACK,browsing
2240,18.906173,Local,Google,TCP,54,ACK,browsing
2242,18.906411,Google,Local,TCP,60,ACK,browsing
2245,18.908842,Local,Google,TCP,74,ACK,browsing
2246,18.908974,Local,Google,TCP,74,ACK,browsing
2247,18.915106,Google,Local,TCP,60,ACK,browsing
2248,18.915179,Local,Google,TCP,54,ACK,browsing
2249,18.915106,Google,Local,TCP,60,ACK,browsing
2250,18.91521,Local,Google,TCP,54,ACK,browsing
2252,18.918833,Google,Local,TCP,60,ACK,browsing
2254,18.921919,Google,Local,TCP,60,ACK,browsing
2256,18.922104,Google,Local,TCP,60,ACK,browsing
2257,18.922105,Google,Local,TCP,60,ACK,browsing
2259,18.924098,Local,Google,TCP,54,ACK,browsing
2261,18.924272,Local,Google,TCP,54,ACK,browsing
2263,18.927738,Local,Google,TCP,54,ACK,browsing
2265,18.927868,Local,Google,TCP,54,ACK,browsing
2268,18.928715,Google,Local,TCP,60,ACK,browsing
2269,18.931538,Google,Local,TCP,60,ACK,browsing
2271,18.935868,Local,Google,TCP,54,ACK,browsing
2273,18.938547,Google,Local,TCP,60,ACK,browsing
2275,18.938763,Google,Local,TCP,60,ACK,browsing
2277,18.943572,Local,Google,TCP,54,ACK,browsing
2279,18.955764,Google,Local,TCP,60,ACK,browsing
2282,18.967417,Google,Local,TCP,60,ACK,browsing
2284,18.979498,Local,Google,TCP,54,ACK,browsing
2285,18.979623,Google,Local,TCP,1474,ACK,browsing
2286,18.979635,Local,Google,TCP,54,ACK,browsing
2287,18.979756,Google,Local,TCP,1474,ACK,browsing
2288,18.979766,Local,Google,TCP,54,ACK,browsing
2290,18.979861,Local,Google,TCP,54,ACK,browsing
2291,18.97995,Google,Local,TCP,2894,ACK,browsing
2292,18.979975,Local,Google,TCP,54,ACK,browsing
2293,18.980066,Google,Local,TCP,4314,ACK,browsing
2294,18.980083,Local,Google,TCP,54,ACK,browsing
2296,18.980236,Local,Google,TCP,54,ACK,browsing
2298,18.980427,Local,Google,TCP,54,ACK,browsing
2299,18.980534,Google,Local,TCP,8050,ACK,browsing
2300,18.980545,Local,Google,TCP,54,ACK,browsing
2301,18.980535,Google,Local,TCP,7154,ACK,browsing
2302,18.980598,Local,Google,TCP,54,ACK,browsing
2304,18.980644,Local,Google,TCP,54,ACK,browsing
2305,18.980928,Google,Local,TCP,8574,ACK,browsing
2306,18.980959,Local,Google,TCP,54,ACK,browsing
2308,18.981084,Local,Google,TCP,54,ACK,browsing
2309,18.981214,Google,Local,TCP,2894,ACK,browsing
2310,18.981224,Local,Google,TCP,54,ACK,browsing
2312,18.981259,Local,Google,TCP,54,ACK,browsing
2314,18.981346,Local,Google,TCP,54,ACK,browsing
2315,18.981445,Google,Local,TCP,12834,ACK,browsing
2316,18.981455,Local,Google,TCP,54,ACK,browsing
2317,18.981557,Google,Local,TCP,2894,ACK,browsing
2318,18.981566,Local,Google,TCP,54,ACK,browsing
2320,18.981683,Local,Google,TCP,54,ACK,browsing
2321,18.981773,Google,Local,TCP,7154,ACK,browsing
2322,18.981792,Local,Google,TCP,54,ACK,browsing
2324,18.981891,Local,Google,TCP,54,ACK,browsing
2326,18.982002,Local,Google,TCP,54,ACK,browsing
2328,18.982126,Local,Google,TCP,54,ACK,browsing
2329,18.982255,Google,Local,TCP,11414,ACK,browsing
2330,18.982267,Local,Google,TCP,54,ACK,browsing
2331,18.982333,Google,Local,TCP,1474,ACK,browsing
2332,18.982345,Local,Google,TCP,54,ACK,browsing
2334,18.982432,Local,Google,TCP,54,ACK,browsing
2336,18.982555,Local,Google,TCP,54,ACK,browsing
2338,18.982638,Local,Google,TCP,54,ACK,browsing
2340,18.982901,Local,Google,TCP,54,ACK,browsing
2341,18.982879,Google,Local,TCP,5734,ACK,browsing
2342,18.982919,Local,Google,TCP,54,ACK,browsing
2344,18.983624,Local,Google,TCP,54,ACK,browsing
2346,18.983648,Local,Google,TCP,54,ACK,browsing
2347,18.983744,Google,Local,TCP,1474,ACK,browsing
2348,18.98375,Local,Google,TCP,54,ACK,browsing
2350,18.983852,Local,Google,TCP,54,ACK,browsing
2352,18.983938,Local,Google,TCP,54,ACK,browsing
2354,19.083602,Google,Local,TCP,60,ACK,browsing
2357,19.086838,Google,Local,TCP,60,ACK,browsing
2358,19.086975,Google,Local,TCP,60,ACK,browsing
2362,19.098173,Local,Google,TCP,54,ACK,browsing
2364,19.098386,Google,Local,TCP,60,ACK,browsing
2366,19.110337,Local,Google,TCP,54,ACK,browsing
2368,19.110355,Local,Google,TCP,54,ACK,browsing
2370,19.110417,Local,Google,TCP,54,ACK,browsing
2372,19.110494,Local,Google,TCP,54,ACK,browsing
2374,19.110548,Local,Google,TCP,54,ACK,browsing
2377,19.160068,Local,Google,TCP,54,ACK,browsing
2379,19.160251,Google,Local,TCP,60,ACK,browsing
2381,19.276903,Local,Google,TCP,54,ACK,browsing
2383,19.277039,Local,Google,TCP,54,ACK,browsing
2385,19.277053,Local,Google,TCP,54,ACK,browsing
2388,19.290071,Google,Local,TCP,60,ACK,browsing
2390,19.290757,Google,Local,TCP,60,ACK,browsing
2393,19.295074,Google,Local,TCP,60,ACK,browsing
2396,19.300957,Local,Google,TCP,54,ACK,browsing
2398,19.302357,Google,Local,TCP,60,ACK,browsing
2400,19.324452,Google,Local,TCP,60,ACK,browsing
2402,19.328075,Google,Local,TCP,60,ACK,browsing
2405,19.330309,Local,Google,TCP,54,ACK,browsing
2408,19.330338,Local,Google,TCP,54,ACK,browsing
2410,19.330473,Local,Google,TCP,54,ACK,browsing
2412,19.330581,Local,Google,TCP,54,ACK,browsing
2414,19.33071,Local,Google,TCP,54,ACK,browsing
2416,19.331609,Google,Local,TCP,60,ACK,browsing
2419,19.333852,Local,Google,TCP,54,ACK,browsing
2421,19.339553,Google,Local,TCP,60,ACK,browsing
2424,19.345286,Local,Google,TCP,54,ACK,browsing
2427,19.345459,Local,Google,TCP,54,ACK,browsing
2430,19.34549,Local,Google,TCP,54,ACK,browsing
2432,19.345815,Google,Local,TCP,60,ACK,browsing
2438,19.466513,Local,Google,TCP,74,ACK,browsing
2439,19.466692,Google,Local,TCP,60,ACK,browsing
2440,19.47191,Google,Local,TCP,60,ACK,browsing
2441,19.471979,Local,Google,TCP,54,ACK,browsing
2444,19.472391,Local,Google,TCP,54,ACK,browsing
2453,19.476873,Google,Local,TCP,60,ACK,browsing
2455,19.47774,Local,Google,TCP,54,ACK,browsing
2456,19.477777,Google,Local,TCP,60,ACK,browsing
2458,19.478919,Google,Local,TCP,60,ACK,browsing
2460,19.482723,Local,Google,TCP,54,ACK,browsing
2462,19.482845,Local,Google,TCP,54,ACK,browsing
2464,19.487154,Static,Local,TCP,60,ACK,browsing
2466,19.493201,Local,Static,TCP,54,ACK,browsing
2468,19.49574,Google,Local,TCP,60,ACK,browsing
2470,19.49647,Google,Local,TCP,60,ACK,browsing
2472,19.501258,Local,Google,TCP,54,ACK,browsing
2475,19.501638,Local,Google,TCP,54,ACK,browsing
2476,19.501656,Local,Google,TCP,54,ACK,browsing
2477,19.501768,Google,Local,TCP,60,ACK,browsing
2478,19.501795,Local,Google,TCP,54,ACK,browsing
2479,19.501856,Google,Local,TCP,60,ACK,browsing
2482,19.61593,Local,Google,TCP,54,ACK,browsing
2485,19.616016,Local,Google,TCP,54,ACK,browsing
2487,19.616102,Local,Google,TCP,54,ACK,browsing
2490,19.625761,Local,Google,TCP,54,ACK,browsing
2492,19.626347,Google,Local,TCP,60,ACK,browsing
2494,19.779377,Google,Local,TCP,60,ACK,browsing
2498,19.808439,Local,Google,TCP,54,ACK,browsing
2500,19.808613,Google,Local,TCP,60,ACK,browsing
2503,19.822861,Google,Local,TCP,60,ACK,browsing
2504,19.822861,Google,Local,TCP,60,ACK,browsing
2509,19.82972,Local,Google,TCP,74,ACK,browsing
2510,19.829884,Local,Google,TCP,74,ACK,browsing
2514,19.833439,Local,Google,TCP,54,ACK,browsing
2516,19.833598,Google,Local,TCP,60,ACK,browsing
2517,19.834584,Google,Local,TCP,60,ACK,browsing
2518,19.834661,Local,Google,TCP,54,ACK,browsing
2519,19.834585,Google,Local,TCP,60,ACK,browsing
2520,19.834684,Local,Google,TCP,54,ACK,browsing
2522,19.839815,Google,Local,TCP,60,ACK,browsing
2524,19.842729,Google,Local,TCP,60,ACK,browsing
2526,19.845132,Local,Google,TCP,54,ACK,browsing
2528,19.845232,Local,Google,TCP,54,ACK,browsing
2530,19.848254,Local,Google,TCP,54,ACK,browsing
2532,19.848359,Local,Google,TCP,54,ACK,browsing
2534,19.850843,Google,Local,TCP,60,ACK,browsing
2536,19.851519,Google,Local,TCP,60,ACK,browsing
2538,19.852342,Google,Local,TCP,60,ACK,browsing
2540,19.852697,Google,Local,TCP,60,ACK,browsing
2542,19.856876,Local,Google,TCP,54,ACK,browsing
2543,19.856831,Google,Local,TCP,2950,ACK,browsing
2544,19.856926,Local,Google,TCP,54,ACK,browsing
2545,19.85706,Google,Local,TCP,2894,ACK,browsing
2546,19.857073,Local,Google,TCP,54,ACK,browsing
2547,19.857134,Google,Local,TCP,9994,ACK,browsing
2548,19.857143,Local,Google,TCP,54,ACK,browsing
2549,19.857211,Google,Local,TCP,306,ACK,browsing
2550,19.857225,Local,Google,TCP,54,ACK,browsing
2552,19.857598,Local,Google,TCP,54,ACK,browsing
2554,19.857907,Local,Google,TCP,54,ACK,browsing
2555,19.857965,Google,Local,TCP,2950,ACK,browsing
2556,19.857974,Local,Google,TCP,54,ACK,browsing
2557,19.858114,Google,Local,TCP,5846,ACK,browsing
2558,19.858128,Local,Google,TCP,54,ACK,browsing
2560,19.858539,Local,Google,TCP,54,ACK,browsing
2561,19.858681,Google,Local,TCP,1502,ACK,browsing
2562,19.858705,Local,Google,TCP,54,ACK,browsing
2563,19.861204,Google,Local,TCP,1502,ACK,browsing
2564,19.861256,Local,Google,TCP,54,ACK,browsing
2565,19.861204,Google,Local,TCP,7294,ACK,browsing
2566,19.861305,Local,Google,TCP,54,ACK,browsing
2568,19.861481,Local,Google,TCP,54,ACK,browsing
2569,19.862194,Google,Local,TCP,1502,ACK,browsing
2570,19.862214,Local,Google,TCP,54,ACK,browsing
2571,19.862195,Google,Local,TCP,1502,ACK,browsing
2572,19.862233,Local,Google,TCP,54,ACK,browsing
2573,19.862195,Google,Local,TCP,1474,ACK,browsing
2574,19.862246,Local,Google,TCP,54,ACK,browsing
2575,19.862363,Google,Local,TCP,2978,ACK,browsing
2576,19.862425,Google,Local,TCP,5846,ACK,browsing
2577,19.862425,Google,Local,TCP,4314,ACK,browsing
2578,19.862438,Local,Google,TCP,54,ACK,browsing
2579,19.862544,Google,Local,TCP,4482,ACK,browsing
2580,19.862554,Local,Google,TCP,54,ACK,browsing
2581,19.862612,Google,Local,TCP,2950,ACK,browsing
2582,19.86264,Local,Google,TCP,54,ACK,browsing
2584,19.862814,Local,Google,TCP,54,ACK,browsing
2585,19.862982,Google,Local,TCP,1502,ACK,browsing
2586,19.862992,Local,Google,TCP,54,ACK,browsing
2588,19.863186,Google,Local,TCP,1502,ACK,browsing
2589,19.863208,Local,Google,TCP,54,ACK,browsing
2590,19.863576,Google,Local,TCP,10190,ACK,browsing
2591,19.86359,Local,Google,TCP,54,ACK,browsing
2593,19.864553,Google,Local,TCP,1502,ACK,browsing
2594,19.864894,Google,Local,TCP,1502,ACK,browsing
2595,19.865156,Google,Local,TCP,7294,ACK,browsing
2596,19.865296,Google,Local,TCP,1502,ACK,browsing
2597,19.865324,Local,Google,TCP,54,ACK,browsing
2598,19.865457,Local,Google,TCP,54,ACK,browsing
2600,19.865574,Local,Google,TCP,54,ACK,browsing
2601,19.865849,Local,Google,TCP,54,ACK,browsing
2603,19.868,Local,Google,TCP,54,ACK,browsing
2605,19.86805,Local,Google,TCP,54,ACK,browsing
2607,19.8993,Static,Local,TCP,60,ACK,browsing
2609,19.902962,Google,Local,TCP,60,ACK,browsing
2612,19.908825,Local,Google,TCP,54,ACK,browsing
2615,19.910118,Google,Local,TCP,60,ACK,browsing
2618,19.917065,Local,Static,TCP,54,ACK,browsing
2621,19.918019,Static,Local,TCP,60,ACK,browsing
2623,20.206655,Google,Local,TCP,60,ACK,browsing
2626,20.212505,Local,Google,TCP,54,ACK,browsing
2629,20.212921,Local,Google,TCP,54,ACK,browsing
2632,20.213178,Local,Google,TCP,54,ACK,browsing
2635,20.213909,Google,Local,TCP,60,ACK,browsing
2637,20.272127,Google,Local,TCP,60,ACK,browsing
2639,20.277198,Local,Google,TCP,54,ACK,browsing
2640,20.277334,Google,Local,TCP,4566,ACK,browsing
2641,20.277345,Local,Google,TCP,54,ACK,browsing
2643,20.277359,Local,Google,TCP,54,ACK,browsing
2645,20.277643,Local,Google,TCP,54,ACK,browsing
2646,20.277735,Google,Local,TCP,7434,ACK,browsing
2647,20.277744,Local,Google,TCP,54,ACK,browsing
2649,20.277842,Local,Google,TCP,54,ACK,browsing
2650,20.27789,Google,Local,TCP,4566,ACK,browsing
2651,20.277897,Local,Google,TCP,54,ACK,browsing
2652,20.278469,Google,Local,TCP,1502,ACK,browsing
2653,20.27849,Local,Google,TCP,54,ACK,browsing
2655,20.278694,Local,Google,TCP,54,ACK,browsing
2657,20.278764,Local,Google,TCP,54,ACK,browsing
2659,20.312659,Google,Local,TCP,60,ACK,browsing
2661,20.358529,Static,Local,TCP,60,ACK,browsing
2663,20.36362,Static,Local,TCP,60,ACK,browsing
2665,20.366672,Static,Local,TCP,60,ACK,browsing
2667,20.398329,Local,Static,TCP,54,ACK,browsing
2669,20.398353,Local,Static,TCP,54,ACK,browsing
2672,20.400107,Static,Local,TCP,60,ACK,browsing
2674,20.403714,Local,Google,TCP,54,ACK,browsing
2676,20.403893,Local,Google,TCP,54,ACK,browsing
2678,20.403911,Local,Google,TCP,54,ACK,browsing
2679,20.403979,Google,Local,TCP,1474,ACK,browsing
2680,20.403988,Local,Google,TCP,54,ACK,browsing
2682,20.404166,Local,Google,TCP,54,ACK,browsing
2683,20.404241,Google,Local,TCP,11414,ACK,browsing
2684,20.404253,Local,Google,TCP,54,ACK,browsing
2686,20.404385,Local,Google,TCP,54,ACK,browsing
2687,20.404374,Google,Local,TCP,2950,ACK,browsing
2688,20.404398,Local,Google,TCP,54,ACK,browsing
2689,20.404924,Google,Local,TCP,1502,ACK,browsing
2690,20.404966,Local,Google,TCP,54,ACK,browsing
2692,20.405131,Local,Google,TCP,54,ACK,browsing
2694,20.405192,Local,Google,TCP,54,ACK,browsing
2697,20.411163,Local,Static,TCP,54,ACK,browsing
2699,20.411846,Static,Local,TCP,60,ACK,browsing
2702,20.444798,Local,Static,TCP,54,ACK,browsing
2706,20.445101,Local,Static,TCP,54,ACK,browsing
2708,20.445417,Static,Local,TCP,60,ACK,browsing
2712,20.484016,Local,CDN,TCP,54,TCP Dup ACK,browsing
2713,20.484279,CDN,Local,TCP,60,TCP Dup ACK,browsing
2719,20.48641,Local,Static,TCP,74,ACK,browsing
2720,20.490802,Static,Local,TCP,60,ACK,browsing
2721,20.490872,Local,Static,TCP,54,ACK,browsing
2724,20.493636,Static,Local,TCP,60,ACK,browsing
2727,20.496205,Static,Local,TCP,60,ACK,browsing
2730,20.496355,Google,Local,TCP,60,ACK,browsing
2732,20.496602,Static,Local,TCP,60,ACK,browsing
2735,20.49693,Google,Local,TCP,60,ACK,browsing
2737,20.497219,Google,Local,TCP,60,ACK,browsing
2738,20.497368,Local,Static,TCP,74,ACK,browsing
2739,20.497468,Local,Static,TCP,74,ACK,browsing
2741,20.499319,Local,Static,TCP,54,ACK,browsing
2742,20.501419,Static,Local,TCP,60,ACK,browsing
2743,20.501466,Local,Static,TCP,54,ACK,browsing
2744,20.502266,Static,Local,TCP,60,ACK,browsing
2745,20.502288,Local,Static,TCP,54,ACK,browsing
2747,20.503072,Static,Local,TCP,60,ACK,browsing
2751,20.50336,Static,Local,TCP,60,ACK,browsing
2753,20.504297,Local,Static,TCP,54,ACK,browsing
2755,20.504437,Static,Local,TCP,60,ACK,browsing
2757,20.507172,Static,Local,TCP,60,ACK,browsing
2761,20.508352,Local,Static,TCP,54,ACK,browsing
2763,20.508369,Local,Static,TCP,54,ACK,browsing
2765,20.509204,Static,Local,TCP,60,ACK,browsing
2767,20.509921,Local,Static,TCP,54,FIN ACK,browsing
2768,20.510105,Static,Local,TCP,60,ACK,browsing
2769,20.510105,Static,Local,TCP,60,ACK,browsing
2770,20.510186,Local,Google,TCP,54,ACK,browsing
2772,20.51033,Google,Local,TCP,60,ACK,browsing
2774,20.512429,Local,Static,TCP,54,ACK,browsing
2775,20.514295,Static,Local,TCP,60,FIN ACK,browsing
2776,20.514336,Local,Static,TCP,54,ACK,browsing
2780,20.515319,Local,Static,TCP,54,ACK,browsing
2782,20.515374,Local,Static,TCP,54,ACK,browsing
2784,20.51902,Static,Local,TCP,60,ACK,browsing
2785,20.51926,Local,Google,TCP,54,ACK,browsing
2787,20.519839,Local,Static,TCP,54,ACK,browsing
2789,20.519895,Local,Static,TCP,54,ACK,browsing
2793,20.52171,Static,Local,TCP,60,ACK,browsing
2794,20.521711,Static,Local,TCP,60,ACK,browsing
2795,20.521822,Static,Local,TCP,60,ACK,browsing
2797,20.522324,Static,Local,TCP,60,ACK,browsing
2799,20.522783,Static,Local,TCP,60,ACK,browsing
2801,20.523069,Static,Local,TCP,60,ACK,browsing
2803,20.523451,Static,Local,TCP,60,ACK,browsing
2805,20.524014,Local,Static,TCP,54,ACK,browsing
2807,20.524695,Static,Local,TCP,60,ACK,browsing
2809,20.526413,Local,Static,TCP,54,ACK,browsing
2812,20.528383,Local,Static,TCP,54,ACK,browsing
2814,20.528437,Local,Static,TCP,54,ACK,browsing
2817,20.528638,Local,Static,TCP,54,ACK,browsing
2819,20.528693,Local,Static,TCP,54,ACK,browsing
2820,20.529745,Local,Static,TCP,54,ACK,browsing
2822,20.530326,Local,Static,TCP,54,FIN ACK,browsing
2823,20.530473,Static,Local,TCP,60,ACK,browsing
2824,20.530474,Static,Local,TCP,60,ACK,browsing
2826,20.530587,Local,Static,TCP,54,ACK,browsing
2828,20.530602,Local,Static,TCP,54,ACK,browsing
2830,20.53171,Static,Local,TCP,60,ACK,browsing
2832,20.531987,Static,Local,TCP,60,ACK,browsing
2833,20.536049,Static,Local,TCP,60,FIN ACK,browsing
2834,20.536095,Local,Static,TCP,54,ACK,browsing
2836,20.538528,Google,Local,TCP,60,ACK,browsing
2838,20.544311,Local,Google,TCP,54,ACK,browsing
2841,20.545049,Google,Local,TCP,60,ACK,browsing
2843,20.566373,Local,Google,TCP,7354,ACK,browsing
2844,20.566398,Local,Google,TCP,5894,ACK,browsing
2845,20.566561,Google,Local,TCP,60,ACK,browsing
2846,20.566562,Google,Local,TCP,60,ACK,browsing
2847,20.566562,Google,Local,TCP,60,ACK,browsing
2848,20.56666,Google,Local,TCP,60,ACK,browsing
2849,20.566661,Google,Local,TCP,60,ACK,browsing
2850,20.566661,Google,Local,TCP,60,ACK,browsing
2851,20.566661,Google,Local,TCP,60,ACK,browsing
2852,20.566727,Google,Local,TCP,60,ACK,browsing
2853,20.566727,Google,Local,TCP,60,ACK,browsing
2854,20.566727,Google,Local,TCP,60,ACK,browsing
2857,20.567499,Google,Local,TCP,60,ACK,browsing
2858,20.567499,Google,Local,TCP,60,ACK,browsing
2859,20.567499,Google,Local,TCP,60,ACK,browsing
2860,20.567499,Google,Local,TCP,60,ACK,browsing
2861,20.567499,Google,Local,TCP,60,ACK,browsing
2862,20.567499,Google,Local,TCP,60,ACK,browsing
2863,20.567499,Google,Local,TCP,60,ACK,browsing
2864,20.567703,Google,Local,TCP,60,ACK,browsing
2865,20.567703,Google,Local,TCP,60,ACK,browsing
2866,20.567703,Google,Local,TCP,60,ACK,browsing
2867,20.567703,Google,Local,TCP,60,ACK,browsing
2868,20.567703,Google,Local,TCP,60,ACK,browsing
2869,20.567703,Google,Local,TCP,60,ACK,browsing
2872,20.588649,Local,Google,TCP,54,ACK,browsing
2874,20.588866,Google,Local,TCP,60,ACK,browsing
2877,20.593092,Local,Google,TCP,54,ACK,browsing
2879,20.604517,Google,Local,TCP,60,ACK,browsing
2881,20.609594,Local,Google,TCP,54,ACK,browsing
2882,20.609545,Google,Local,TCP,7154,ACK,browsing
2883,20.609622,Local,Google,TCP,54,ACK,browsing
2884,20.60972,Google,Local,TCP,194,ACK,browsing
2885,20.609728,Local,Google,TCP,54,ACK,browsing
2887,20.609806,Local,Google,TCP,54,ACK,browsing
2889,20.609862,Local,Google,TCP,54,ACK,browsing
2890,20.609981,Google,Local,TCP,9994,ACK,browsing
2891,20.609991,Local,Google,TCP,54,ACK,browsing
2893,20.610048,Local,Google,TCP,54,ACK,browsing
2895,20.61013,Local,Google,TCP,54,ACK,browsing
2898,20.656228,Google,Local,TCP,60,ACK,browsing
2899,20.65635,Google,Local,TCP,60,ACK,browsing
2901,20.669146,Google,Local,TCP,60,ACK,browsing
2905,20.669828,Local,Google,TCP,54,ACK,browsing
2907,20.670107,Google,Local,TCP,60,ACK,browsing
2910,20.690279,Local,Google,TCP,54,ACK,browsing
2912,20.690459,Google,Local,TCP,60,ACK,browsing
2914,20.736297,Local,Google,TCP,54,ACK,browsing
2915,20.73643,Google,Local,TCP,7406,ACK,browsing
2916,20.736442,Local,Google,TCP,54,ACK,browsing
2918,20.73646,Local,Google,TCP,54,ACK,browsing
2920,20.736551,Local,Google,TCP,54,ACK,browsing
2921,20.736543,Google,Local,TCP,4314,ACK,browsing
2922,20.736564,Local,Google,TCP,54,ACK,browsing
2924,20.736632,Local,Google,TCP,54,ACK,browsing
2925,20.736713,Google,Local,TCP,4706,ACK,browsing
2926,20.736722,Local,Google,TCP,54,ACK,browsing
2927,20.736713,Google,Local,TCP,4314,ACK,browsing
2928,20.736736,Local,Google,TCP,54,ACK,browsing
2930,20.736815,Local,Google,TCP,54,ACK,browsing
2931,20.736928,Google,Local,TCP,6182,ACK,browsing
2932,20.736938,Local,Google,TCP,54,ACK,browsing
2934,20.737019,Local,Google,TCP,54,ACK,browsing
2936,20.73708,Local,Google,TCP,54,ACK,browsing
2937,20.737125,Google,Local,TCP,502,ACK,browsing
2938,20.737141,Local,Google,TCP,54,ACK,browsing
2939,20.737125,Google,Local,TCP,1502,ACK,browsing
2940,20.737157,Local,Google,TCP,54,ACK,browsing
2941,20.737582,Google,Local,TCP,1502,ACK,browsing
2942,20.737595,Local,Google,TCP,54,ACK,browsing
2943,20.737782,Google,Local,TCP,7154,ACK,browsing
2944,20.737842,Local,Google,TCP,54,ACK,browsing
2946,20.737877,Local,Google,TCP,54,ACK,browsing
2947,20.737925,Google,Local,TCP,687,ACK,browsing
2948,20.737935,Local,Google,TCP,54,ACK,browsing
2949,20.737997,Google,Local,TCP,4314,ACK,browsing
2951,20.73806,Local,Google,TCP,54,ACK,browsing
2952,20.738079,Local,Google,TCP,54,ACK,browsing
2953,20.740084,Local,CDN,TCP,54,TCP Dup ACK,browsing
2954,20.740244,CDN,Local,TCP,60,TCP Dup ACK,browsing
2956,20.778828,Google,Local,TCP,60,ACK,browsing
2959,20.797362,Google,Local,TCP,60,ACK,browsing
2962,20.831798,Google,Local,TCP,60,ACK,browsing
2963,20.831865,Google,Local,TCP,60,ACK,browsing
2966,20.85832,Local,Google,TCP,54,ACK,browsing
2968,20.858592,Google,Local,TCP,60,ACK,browsing
2970,20.862971,Google,Local,TCP,7406,ACK,browsing
2971,20.862971,Google,Local,TCP,1474,ACK,browsing
2972,20.863016,Local,Google,TCP,54,ACK,browsing
2974,20.863065,Local,Google,TCP,54,ACK,browsing
2975,20.863163,Google,Local,TCP,8574,ACK,browsing
2976,20.863179,Local,Google,TCP,54,ACK,browsing
2978,20.863239,Google,Local,TCP,4314,ACK,browsing
2979,20.863295,Google,Local,TCP,7154,ACK,browsing
2980,20.86333,Google,Local,TCP,4314,ACK,browsing
2982,20.863447,Local,Google,TCP,54,ACK,browsing
2983,20.863449,Google,Local,TCP,3342,ACK,browsing
2984,20.86345,Google,Local,TCP,2894,ACK,browsing
2985,20.863502,Local,Google,TCP,54,ACK,browsing
2987,20.863586,Google,Local,TCP,8574,ACK,browsing
2988,20.863624,Google,Local,TCP,3314,ACK,browsing
2989,20.863625,Google,Local,TCP,2894,ACK,browsing
2990,20.863652,Local,Google,TCP,54,ACK,browsing
2992,20.863712,Local,Google,TCP,54,ACK,browsing
2993,20.863747,Google,Local,TCP,5734,ACK,browsing
2994,20.863757,Local,Google,TCP,54,ACK,browsing
2996,20.863818,Local,Google,TCP,54,ACK,browsing
2997,20.863882,Google,Local,TCP,7154,ACK,browsing
2998,20.863899,Local,Google,TCP,54,ACK,browsing
2999,20.863913,Google,Local,TCP,4314,ACK,browsing
3001,20.86404,Google,Local,TCP,6182,ACK,browsing
3002,20.86404,Local,Google,TCP,54,ACK,browsing
3003,20.86404,Google,Local,TCP,1502,ACK,browsing
3004,20.864089,Google,Local,TCP,1502,ACK,browsing
3005,20.864137,Local,Google,TCP,54,ACK,browsing
3006,20.864313,Google,Local,TCP,2894,ACK,browsing
3007,20.864322,Local,Google,TCP,54,ACK,browsing
3009,20.864372,Local,Google,TCP,54,ACK,browsing
3010,20.864427,Google,Local,TCP,8574,ACK,browsing
3011,20.864435,Local,Google,TCP,54,ACK,browsing
3013,20.864493,Local,Google,TCP,54,ACK,browsing
3014,20.864541,Google,Local,TCP,4314,ACK,browsing
3015,20.864589,Google,Local,TCP,5734,ACK,browsing
3017,20.864667,Google,Local,TCP,4314,ACK,browsing
3018,20.864711,Local,Google,TCP,54,ACK,browsing
3019,20.864728,Google,Local,TCP,4762,ACK,browsing
3021,20.864807,Local,Google,TCP,54,ACK,browsing
3022,20.864847,Google,Local,TCP,5734,ACK,browsing
3023,20.864855,Local,Google,TCP,54,ACK,browsing
3024,20.864893,Google,Local,TCP,1824,ACK,browsing
3025,20.864899,Local,Google,TCP,54,ACK,browsing
3026,20.865062,Google,Local,TCP,2894,ACK,browsing
3027,20.865071,Local,Google,TCP,54,ACK,browsing
3029,20.865251,Google,Local,TCP,4314,ACK,browsing
3030,20.865287,Google,Local,TCP,4314,ACK,browsing
3032,20.865391,Google,Local,TCP,4734,ACK,browsing
3033,20.865439,Google,Local,TCP,5734,ACK,browsing
3035,20.865553,Google,Local,TCP,7546,ACK,browsing
3036,20.866273,Local,Google,TCP,54,ACK,browsing
3037,20.866404,Google,Local,TCP,4314,ACK,browsing
3039,20.867203,Google,Local,TCP,1698,ACK,browsing
3040,20.867203,Google,Local,TCP,1502,ACK,browsing
3042,20.867737,Local,Google,TCP,54,ACK,browsing
3046,20.868425,Local,Google,TCP,54,ACK,browsing
