Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits A to B,Bits B to A,classification
192.168.10.126,65338,192.168.10.1,53,17,1188,661,0,0,12,760,5,428,362.21061,0.022638,268574,151250,Admin
192.168.10.126,65339,192.168.10.1,53,17,1156,662,0,0,12,760,5,396,362.211485,0.02169,280313,146058,Admin
192.168.10.126,65340,192.168.10.1,53,17,1188,663,0,0,12,760,5,428,362.212726,0.025744,236171,133001,Admin
192.168.10.126,65341,79.127.213.244,443,48,14113,664,0,0,32,6376,16,7737,365.211521,24.024366,2123,2576,Google
192.168.10.126,65342,192.168.10.1,53,15,1078,665,0,0,10,636,5,442,366.208147,0.034895,145808,101332,Admin
192.168.10.126,65343,192.168.10.1,53,15,1050,666,0,0,10,636,5,414,366.208556,0.03279,155169,101006,Admin
192.168.10.126,65344,192.168.10.1,53,17,1186,667,0,0,12,744,5,442,366.208831,0.034211,173979,103358,Admin
192.168.10.126,65345,79.127.213.244,443,48,14055,668,0,0,32,6346,16,7709,367.213964,22.016313,2305,2801,Google
192.168.10.126,65346,79.127.213.241,443,41,13644,669,0,0,28,6084,13,7560,368.213984,13.060886,3726,4630,Google
192.168.10.126,65347,79.127.213.241,443,34,10997,670,0,0,24,4624,10,6373,368.214978,13.023942,2840,3914,Google
192.168.10.126,65348,192.168.10.1,53,17,1171,671,0,0,12,734,5,437,369.717894,0.01909,307595,183132,Admin
192.168.10.126,65349,192.168.10.1,53,15,1115,672,0,0,10,626,5,489,369.718105,0.020183,248129,193826,Admin
192.168.10.126,65350,192.168.10.1,53,17,1116,673,0,0,12,734,5,382,369.718242,0.026572,220984,115008,Admin
192.168.10.126,65355,192.168.10.1,53,17,1166,674,0,0,12,744,5,422,376.213556,0.02857,208330,118165,Admin
192.168.10.126,65356,192.168.10.1,53,17,1154,675,0,0,12,744,5,410,376.213744,0.028425,209393,115391,Admin
192.168.10.126,65357,192.168.10.1,53,17,1195,676,0,0,12,744,5,451,376.213874,0.028252,210675,127707,Admin
192.168.10.126,65358,192.168.10.1,53,15,1018,677,0,0,10,636,5,382,379.211988,0.22962,22158,13308,Admin
192.168.10.126,65359,192.168.10.1,53,17,1090,678,0,0,12,744,5,346,379.212385,0.227463,26166,12169,Admin
192.168.10.126,65360,192.168.10.1,53,17,1138,679,0,0,12,744,5,394,379.212599,0.227249,26191,13870,Admin
192.168.10.126,65361,79.127.213.241,443,26,4601,680,0,0,18,3570,8,1031,381.216566,11.025861,2590,748,Google
192.168.10.126,61821,20.198.162.78,443,6,352,252,0,0,4,220,2,132,388.867417,245.019252,7,4,Unclear
192.168.10.126,65362,79.127.213.244,443,52,17224,681,0,0,32,7704,20,9520,389.219793,19.067328,3232,3994,Google
192.168.10.126,65363,79.127.213.244,443,50,16577,682,0,0,32,7720,18,8857,389.220447,30.073742,2053,2356,Google
192.168.10.126,65364,54.91.59.199,443,58,14760,683,0,0,38,8800,20,5960,390.486919,60.991811,1154,781,Unclear
192.168.10.126,65365,192.168.10.1,53,17,1194,684,0,0,12,738,5,456,391.463726,0.03135,188325,116363,Admin
192.168.10.126,65366,192.168.10.1,53,15,1085,685,0,0,10,630,5,455,391.463874,0.051129,98574,71192,Admin
192.168.10.126,65367,192.168.10.1,53,17,1194,686,0,0,12,738,5,456,391.463992,0.061694,95698,59130,Admin
192.168.10.126,65368,79.127.213.241,443,34,7418,687,0,0,20,1796,14,5622,392.221581,16.01053,897,2809,Google
192.168.10.126,65369,79.127.213.241,443,64,19761,688,0,0,40,8206,24,11555,392.223653,181.42545,361,509,Google
192.168.10.126,65370,79.127.213.241,443,46,10352,689,0,0,28,3478,18,6874,392.224694,181.196868,153,303,Google
192.168.10.126,65371,79.127.213.241,443,68,20385,690,0,0,44,9318,24,11067,392.226024,181.435662,410,487,Google
192.168.10.126,65372,10.91.89.132,7680,10,660,691,0,0,10,660,0,0,393.674264,15.017894,351,0,Unclear
192.168.10.126,65373,10.91.240.66,7680,10,660,692,0,0,10,660,0,0,393.678257,15.006321,351,0,Unclear
192.168.10.126,65374,192.168.10.1,53,17,1176,693,0,0,12,760,5,416,395.218364,0.03986,152533,83492,Admin
192.168.10.126,65375,192.168.10.1,53,17,1168,694,0,0,12,760,5,408,395.218722,0.034306,177228,95143,Admin
192.168.10.126,65376,192.168.10.1,53,17,1188,695,0,0,12,760,5,428,395.218937,0.033113,183613,103403,Admin
192.168.10.126,65377,79.127.213.244,443,53,17270,696,0,0,34,7788,19,9482,395.247367,28.009654,2224,2708,Google
192.168.10.126,65378,192.168.10.1,53,15,1025,697,0,0,10,630,5,395,395.68926,0.0291,173195,108591,Admin
192.168.10.126,65379,192.168.10.1,53,17,1121,698,0,0,12,738,5,383,395.689539,0.033631,175552,91106,Admin
192.168.10.126,65380,192.168.10.1,53,17,1250,699,0,0,12,738,5,512,395.689954,0.033061,178578,123892,Admin
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65381,2620:1ec:42::132,443,50,39635,700,0,0,18,4152,32,35483,396.202236,64.65025,513,4390,Google
192.168.10.126,65382,192.168.10.1,53,15,1080,701,0,0,10,652,5,428,400.691744,0.131674,39612,26003,Admin
192.168.10.126,65383,192.168.10.1,53,19,1276,702,0,0,14,868,5,408,400.691957,3.074089,2258,1061,Admin
192.168.10.126,65384,192.168.10.1,53,17,1188,703,0,0,12,760,5,428,400.692237,0.138547,43884,24713,Admin
192.168.10.126,65385,192.168.10.1,53,17,1168,704,0,0,12,760,5,408,401.127273,0.144739,42006,22550,Admin
192.168.10.126,65386,192.168.10.1,53,15,991,705,0,0,10,634,5,357,406.209408,0.022011,230430,129753,Admin
192.168.10.126,65387,192.168.10.1,53,15,979,706,0,0,10,634,5,345,406.210046,0.02288,221678,120629,Admin
192.168.10.126,65388,192.168.10.1,53,17,1116,707,0,0,12,742,5,374,406.210525,0.023874,248638,125324,Admin
192.168.10.126,65389,192.168.10.1,53,17,1188,708,0,0,12,760,5,428,408.225919,0.032254,188503,106157,Admin
192.168.10.126,65390,192.168.10.1,53,17,1168,709,0,0,12,760,5,408,408.22622,0.032088,189478,101720,Admin
192.168.10.126,65391,192.168.10.1,53,17,1188,710,0,0,12,760,5,428,408.2266,0.038953,156085,87900,Admin
